RAGGIO,X,Y
0.208679665570,-0.208679665570,-0.763309025794
0.208679665570,0.208679665570,-0.763309025794
0.208679665570,-0.567989863967,-0.550976756417
0.208679665570,0.567989863967,-0.550976756417
0.208679665570,0.000000000000,-0.401865242520
0.208679665570,-0.359310198397,-0.189532973143
0.208679665570,0.359310198397,-0.189532973143
0.208679665570,-0.775452013527,-0.157677031931
0.208679665570,0.775452013527,-0.157677031931
0.208679665570,0.000000000000,0.022799296234
0.208679665570,-0.747815408829,0.258766276781
0.208679665570,0.747815408829,0.258766276781
0.208679665570,-0.330863241377,0.277197265558
0.208679665570,0.330863241377,0.277197265558
0.208679665570,0.000000000000,0.531595234881
0.208679665570,-0.385746724794,0.690932222430
0.208679665570,0.385746724794,0.690932222430
